animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220316_AWC_daf11_kaplan_HEX/20220316_AWC_daf11_kaplan_HEX__1/20220316_AWC_daf11_kaplan_HEX__1_ImageJ_data.csv,1,40.25,-0.09639460406283565,63,-0.09872147211740319
20220316_AWC_daf11_kaplan_HEX/20220316_AWC_daf11_kaplan_HEX__2/20220316_AWC_daf11_kaplan_HEX__2_ImageJ_data.csv,2,39.5,-0.03583557579888036,67.25,-0.026327419696691914
20220316_AWC_daf11_kaplan_HEX/20220316_AWC_daf11_kaplan_HEX__3/20220316_AWC_daf11_kaplan_HEX__3_ImageJ_data.csv,3,39.75,-0.0599202189423875,70,-0.14985378597119023
20220316_AWC_daf11_kaplan_HEX/20220316_AWC_daf11_kaplan_HEX__4/20220316_AWC_daf11_kaplan_HEX__4_ImageJ_data.csv,4,40.25,-0.2518239871712192,60.75,-0.3741082355485783
20220316_AWC_daf11_kaplan_HEX/20220316_AWC_daf11_kaplan_HEX__5/20220316_AWC_daf11_kaplan_HEX__5_ImageJ_data.csv,5,36.75,-0.007349460736830598,68.25,0.025403003625459563
20220319_AWC_daf11_kaplan_HEX/20220319_AWC_daf11_kaplan_HEX__1/20220319_AWC_daf11_kaplan_HEX__1_ImageJ_data.csv,6,39.75,-0.023603689480920422,61.25,-0.013554800697823804
20220319_AWC_daf11_kaplan_HEX/20220319_AWC_daf11_kaplan_HEX__2/20220319_AWC_daf11_kaplan_HEX__2_ImageJ_data.csv,7,35.5,-0.05885318783365345,70.25,0.09648170285044784
20220319_AWC_daf11_kaplan_HEX/20220319_AWC_daf11_kaplan_HEX__3/20220319_AWC_daf11_kaplan_HEX__3_ImageJ_data.csv,8,36.75,-0.0883532323455507,69,0.1439722642856509
20220319_AWC_daf11_kaplan_HEX/20220319_AWC_daf11_kaplan_HEX__4/20220319_AWC_daf11_kaplan_HEX__4_ImageJ_data.csv,9,34.25,-0.05573913882879707,61,-0.021892489736800812
20220319_AWC_daf11_kaplan_HEX/20220319_AWC_daf11_kaplan_HEX__5/20220319_AWC_daf11_kaplan_HEX__5_ImageJ_data.csv,10,35.75,-0.10378445759885056,60.75,-0.14287120283330393
