animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,39.5,-0.2755886425804762,60.75,-0.15295451092885776
20210904_AWC_WT_IAA_10K__2/20210904_AWC_WT_IAA_10K__2_ImageJ_data.csv,2,40,-0.24049271699126842,60.75,-0.14958127178102906
20210904_AWC_WT_IAA_10K__3/20210904_AWC_WT_IAA_10K__3_ImageJ_data.csv,3,40.25,-0.4362938540655229,60.75,-0.3309746793613133
20210904_AWC_WT_IAA_10K__4/20210904_AWC_WT_IAA_10K__4_ImageJ_data.csv,4,40.25,-0.1891603389904522,66.5,0.41983358103702445
20211004_AWC_WT_IAA_10K__1/20211004_AWC_WT_IAA_10K__1_ImageJ_data.csv,5,40,-0.6962768133133679,60.75,-0.5931433201142137
20211004_AWC_WT_IAA_10K__10/20211004_AWC_WT_IAA_10K__10_ImageJ_data.csv,6,35,-0.13227527087980376,62,0.07642948465414755
20211004_AWC_WT_IAA_10K__11/20211004_AWC_WT_IAA_10K__11_ImageJ_data.csv,7,40.25,-0.6521043948358999,60.75,-0.36722894787560634
20211004_AWC_WT_IAA_10K__12/20211004_AWC_WT_IAA_10K__12_ImageJ_data.csv,8,38.5,-0.3980514177018674,63.75,0.2547706672544205
20211004_AWC_WT_IAA_10K__13/20211004_AWC_WT_IAA_10K__13_ImageJ_data.csv,9,40,-0.4757376057005901,60.75,-0.40821420377983453
20211004_AWC_WT_IAA_10K__14/20211004_AWC_WT_IAA_10K__14_ImageJ_data.csv,10,37.5,-0.3360796922224791,60.75,-0.19046873600010278
20211004_AWC_WT_IAA_10K__15/20211004_AWC_WT_IAA_10K__15_ImageJ_data.csv,11,39.75,-0.1426902108475351,65.25,0.3100931266308998
20211004_AWC_WT_IAA_10K__2/20211004_AWC_WT_IAA_10K__2_ImageJ_data.csv,12,40.25,-0.7777226907548008,60.75,-0.7707453947159111
20211004_AWC_WT_IAA_10K__3/20211004_AWC_WT_IAA_10K__3_ImageJ_data.csv,13,39.75,-0.5049996643194986,60.75,-0.37369501170752484
20211004_AWC_WT_IAA_10K__4/20211004_AWC_WT_IAA_10K__4_ImageJ_data.csv,14,40.25,-0.43895669759141526,63,-0.39609927477777807
20211004_AWC_WT_IAA_10K__5/20211004_AWC_WT_IAA_10K__5_ImageJ_data.csv,15,38.25,-0.2699456222219556,60.75,-0.11466156649018895
20211004_AWC_WT_IAA_10K__6/20211004_AWC_WT_IAA_10K__6_ImageJ_data.csv,16,40,-0.7394316377593522,60.75,-0.6194846445536879
20211004_AWC_WT_IAA_10K__7/20211004_AWC_WT_IAA_10K__7_ImageJ_data.csv,17,36.5,-0.2225186351614428,61.5,0.19538424900794654
20211004_AWC_WT_IAA_10K__8/20211004_AWC_WT_IAA_10K__8_ImageJ_data.csv,18,39,-0.12760015814334305,62.5,-0.0908718536558886
20211004_AWC_WT_IAA_10K__9/20211004_AWC_WT_IAA_10K__9_ImageJ_data.csv,19,39.25,-0.34805147636008804,64,0.4261653350798185
20211023_AWC_WT_IAA_10K__1/20211023_AWC_WT_IAA_10K__1_ImageJ_data.csv,20,40,-0.3613135021500507,60.75,-0.34267959724654595
20211023_AWC_WT_IAA_10K__2/20211023_AWC_WT_IAA_10K__2_ImageJ_data.csv,21,31.75,-0.046173863063225275,65,0.5391776549076999
20211023_AWC_WT_IAA_10K__3/20211023_AWC_WT_IAA_10K__3_ImageJ_data.csv,22,40.25,-0.5797053790167271,60.75,-0.5972049052218756
20211023_AWC_WT_IAA_10K__4/20211023_AWC_WT_IAA_10K__4_ImageJ_data.csv,23,40.25,-0.6197137731509714,60.75,-0.587249202335872
20211023_AWC_WT_IAA_10K__5/20211023_AWC_WT_IAA_10K__5_ImageJ_data.csv,24,40.25,-0.10049106532979185,60.75,-0.07397721641711846
